"'data_estimativa'";"data_pagamento";"base_de_calculo";"perc_transmitido";"'finalidade_construcao'";"'logradouro'";"n_endereco";"n_unidade";"'complemento_endereco'";"'bairro'";"cep";"area_total_terreno";"area_constr_total";"area_constr_privativa";"ano_construcao";"'n_matricula_reg_imoveis'";"'n_zona_reg_imoveis'";"'situacao'"
"'2020-04-16'";"2020-04-16 00:00:00";"581402.31";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"800""";"";"'apto 2103 edf sainte juliana'";"'Encruzilhada'";"";"1295,39";"145,49";"145,49";"2017""";"''";"''";"'CONCLUIDO'"
"'2020-08-25'";"2020-08-25 00:00:00";"800000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"334""";"";"'apto 2502 edf essenza rosarinho'";"'Encruzilhada'";"";"1737,63";"183,6";"183,6";"2011""";"''";"''";"'CONCLUIDO'"
"'2020-10-02'";"2020-10-02 00:00:00";"830000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"334""";"";"'apto 2602 edf essenza rosarinho'";"'Encruzilhada'";"";"1737,63";"183,6";"183,6";"2011""";"''";"''";"'CONCLUIDO'"
"'2020-02-28'";"2020-02-28 00:00:00";"682000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"390""";"";"'apto 302 edf acantis'";"'Encruzilhada'";"";"1147,48";"174,33";"174,33";"2005""";"''";"''";"'CONCLUIDO'"
"'2020-08-18'";"2020-08-18 00:00:00";"600000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"390""";"";"'apto 602 edf acantis'";"'Encruzilhada'";"";"1147,48";"174,33";"174,33";"2005""";"''";"''";"'CONCLUIDO'"
"'2020-06-08'";"2020-06-08 00:00:00";"656834.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"390""";"";"'apto 102 edf acantis'";"'Encruzilhada'";"";"1147,48";"174,33";"174,33";"2005""";"''";"''";"'CONCLUIDO'"
"'2020-03-04'";"2020-03-04 00:00:00";"600000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"390""";"";"'apto 1002 edf acantis'";"'Encruzilhada'";"";"1147,48";"174,33";"174,33";"2005""";"''";"''";"'CONCLUIDO'"
"'2020-03-11'";"2020-03-11 00:00:00";"900000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"390""";"";"'apto 1702 edf acantis'";"'Encruzilhada'";"";"1147,48";"174,33";"174,33";"2005""";"''";"''";"'CONCLUIDO'"
"'2020-12-28'";"2020-12-28 00:00:00";"416998.53";"100.00";"'Apartamento > 4 Pavimentos'";"'rua doutor jose maria'";"600""";"";"'apto 903 edf maria rosa'";"'Encruzilhada'";"";"2431,0";"111,88";"111,88";"2010""";"''";"''";"'CONCLUIDO'"
"'2020-10-21'";"2020-10-21 00:00:00";"410938.87";"100.00";"'Apartamento > 4 Pavimentos'";"'rua doutor jose maria'";"600""";"";"'apto 602 edf maria rosa'";"'Encruzilhada'";"";"2431,0";"111,89";"111,89";"2010""";"''";"''";"'CONCLUIDO'"
"'2020-01-16'";"2020-01-16 00:00:00";"470000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua doutor jose maria'";"600""";"";"'apto 803 edf maria rosa'";"'Encruzilhada'";"";"2431,0";"111,89";"111,89";"2010""";"''";"''";"'CONCLUIDO'"
"'2020-09-11'";"2020-09-11 00:00:00";"530000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua doutor jose maria'";"600""";"";"'apto 1004 edf maria rosa'";"'Encruzilhada'";"";"2431,0";"139,58";"139,58";"2010""";"''";"''";"'CONCLUIDO'"
"'2020-11-27'";"2020-11-27 00:00:00";"440000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua doutor jose maria'";"600""";"";"'apto 1702 edf maria rosa'";"'Encruzilhada'";"";"2431,0";"111,89";"111,89";"2010""";"''";"''";"'CONCLUIDO'"
"'2020-10-27'";"2020-10-27 00:00:00";"450000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua doutor jose maria'";"600""";"";"'apto 2102 edf maria rosa'";"'Encruzilhada'";"";"2431,0";"111,89";"111,89";"2010""";"''";"''";"'CONCLUIDO'"
"'2020-08-27'";"2020-08-27 00:00:00";"460034.53";"100.00";"'Apartamento > 4 Pavimentos'";"'rua doutor jose maria'";"600""";"";"'apto 2902 edf maria rosa'";"'Encruzilhada'";"";"2431,0";"111,89";"111,89";"2010""";"''";"''";"'CONCLUIDO'"
"'2020-10-01'";"2020-10-01 00:00:00";"168417.22";"100.00";"'Apartamento > 4 Pavimentos'";"'rua doutor jose maria'";"600""";"";"'apto 2902 edf maria rosa'";"'Encruzilhada'";"";"2431,0";"111,89";"111,89";"2010""";"''";"''";"'CONCLUIDO'"
"'2020-12-22'";"2020-12-22 00:00:00";"1200000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua doutor jose maria'";"658""";"";"'apto 1301 edf casa rosada'";"'Encruzilhada'";"";"3090,5";"244,73";"244,73";"2010""";"''";"''";"'CONCLUIDO'"
"'2020-08-27'";"2020-08-27 00:00:00";"1350000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua doutor jose maria'";"658""";"";"'apto 1502 edf casa rosada'";"'Encruzilhada'";"";"3090,5";"244,73";"244,73";"2010""";"''";"''";"'CONCLUIDO'"
"'2020-01-13'";"2020-01-13 00:00:00";"1350000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua doutor jose maria'";"658""";"";"'apto 2702 edf casa rosada'";"'Encruzilhada'";"";"3090,5";"244,73";"244,73";"2010""";"''";"''";"'CONCLUIDO'"
"'2020-09-17'";"2020-09-17 00:00:00";"1400000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua doutor jose maria'";"658""";"";"'apto 3301 edf casa rosada'";"'Encruzilhada'";"";"3090,5";"244,73";"244,73";"2010""";"''";"''";"'CONCLUIDO'"
"'2020-09-03'";"2020-09-03 00:00:00";"120000.00";"100.00";"'Loja <= 4 Pavimentos'";"'rua doutor jose maria'";"430""";"";"'loja 0010'";"'Encruzilhada'";"";"580,0";"19,0";"19,0";"1962""";"''";"''";"'CONCLUIDO'"
"'2020-09-03'";"2020-09-03 00:00:00";"120000.00";"100.00";"'Loja <= 4 Pavimentos'";"'rua doutor jose maria'";"430""";"";"'loja 0009'";"'Encruzilhada'";"";"580,0";"19,0";"19,0";"1962""";"''";"''";"'CONCLUIDO'"
"'2020-06-05'";"2020-06-05 00:00:00";"217861.40";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 301 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"57,12";"57,12";"2014""";"''";"''";"'CONCLUIDO'"
"'2020-06-05'";"2020-06-05 00:00:00";"215000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 301 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"57,12";"57,12";"2014""";"''";"''";"'CONCLUIDO'"
"'2020-09-21'";"2020-09-21 00:00:00";"257000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 1203 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"59,93";"59,93";"2014""";"''";"''";"'CONCLUIDO'"
"'2020-04-09'";"2020-04-09 00:00:00";"233818.49";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 1303 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"59,93";"59,93";"2014""";"''";"''";"'CONCLUIDO'"
"'2020-09-29'";"2020-09-29 00:00:00";"260000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 1603 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"59,93";"59,93";"2014""";"''";"''";"'CONCLUIDO'"
"'2020-12-11'";"2020-12-11 00:00:00";"260000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 1604 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"59,93";"59,93";"2014""";"''";"''";"'CONCLUIDO'"
"'2020-08-27'";"2020-08-27 00:00:00";"250000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 1201 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"57,12";"57,12";"2014""";"''";"''";"'CONCLUIDO'"
"'2020-03-05'";"2020-03-05 00:00:00";"222622.35";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 303 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"59,93";"59,93";"2014""";"''";"''";"'CONCLUIDO'"
"'2020-01-09'";"2020-01-09 00:00:00";"320217.24";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"68""";"";"'apto 1701 splendid rosarinho'";"'Rosarinho'";"";"2202,75";"57,12";"57,12";"2014""";"''";"''";"'CONCLUIDO'"
"'2020-10-02'";"2020-10-02 00:00:00";"633324.66";"100.00";"'Apartamento > 4 Pavimentos'";"'rua eng sampaio'";"110""";"";"'apto 101 edf villa aguinaldo jurema'";"'Rosarinho'";"";"1084,52";"180,0";"180,0";"2016""";"''";"''";"'CONCLUIDO'"
"'2020-12-23'";"2020-12-23 00:00:00";"636439.92";"100.00";"'Apartamento > 4 Pavimentos'";"'rua eng sampaio'";"110""";"";"'apto 201 edf villa aguinaldo jurema'";"'Rosarinho'";"";"1084,52";"180,0";"180,0";"2016""";"''";"''";"'CONCLUIDO'"
"'2020-09-24'";"2020-09-24 00:00:00";"636439.92";"100.00";"'Apartamento > 4 Pavimentos'";"'rua eng sampaio'";"110""";"";"'apto 201 edf villa aguinaldo jurema'";"'Rosarinho'";"";"1084,52";"180,0";"180,0";"2016""";"''";"''";"'CONCLUIDO'"
"'2020-10-29'";"2020-10-29 00:00:00";"658680.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua eng sampaio'";"110""";"";"'apto 902 edf villa aguinaldo jurema'";"'Rosarinho'";"";"1084,52";"180,0";"180,0";"2016""";"''";"''";"'CONCLUIDO'"
"'2020-10-05'";"2020-10-05 00:00:00";"671735.83";"100.00";"'Apartamento > 4 Pavimentos'";"'rua eng sampaio'";"110""";"";"'apto 1302 edf villa aguinaldo jurema'";"'Rosarinho'";"";"1084,52";"180,0";"180,0";"2016""";"''";"''";"'CONCLUIDO'"
"'2020-07-14'";"2020-07-14 00:00:00";"665175.88";"100.00";"'Apartamento > 4 Pavimentos'";"'rua eng sampaio'";"110""";"";"'apto 1101 edf villa aguinaldo jurema'";"'Rosarinho'";"";"1084,52";"180,0";"180,0";"2016""";"''";"''";"'CONCLUIDO'"
"'2020-11-23'";"2020-11-23 00:00:00";"681697.25";"100.00";"'Apartamento > 4 Pavimentos'";"'rua eng sampaio'";"110""";"";"'apto 1602 edf villa aguinaldo jurema'";"'Rosarinho'";"";"1084,52";"180,0";"180,0";"2016""";"''";"''";"'CONCLUIDO'"
"'2020-09-24'";"2020-09-24 00:00:00";"691806.39";"100.00";"'Apartamento > 4 Pavimentos'";"'rua eng sampaio'";"110""";"";"'apto 1902 edf villa aguinaldo jurema'";"'Rosarinho'";"";"1084,52";"180,0";"180,0";"2016""";"''";"''";"'CONCLUIDO'"
"'2020-06-30'";"2020-06-30 00:00:00";"770000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua eng sampaio'";"110""";"";"'apto 2001 edf villa aguinaldo jurema'";"'Rosarinho'";"";"1084,52";"180,0";"180,0";"2016""";"''";"''";"'CONCLUIDO'"
"'2020-01-31'";"2020-01-31 00:00:00";"715000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"218""";"";"'apto 2101 edf quinta das baronesas'";"'Rosarinho'";"";"1361,43";"175,83";"175,83";"2014""";"''";"''";"'CONCLUIDO'"
"'2020-06-09'";"2020-06-09 00:00:00";"708264.64";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"218""";"";"'apto 2401 edf quinta das baronesas'";"'Rosarinho'";"";"1361,43";"175,83";"175,83";"2014""";"''";"''";"'CONCLUIDO'"
"'2020-07-06'";"2020-07-06 00:00:00";"830000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua andre reboucas'";"45""";"";"'apto 102 edf david becker'";"'Rosarinho'";"";"2610,0";"207,27";"207,27";"2013""";"''";"''";"'CONCLUIDO'"
"'2020-01-21'";"2020-01-21 00:00:00";"851235.39";"100.00";"'Apartamento > 4 Pavimentos'";"'rua andre reboucas'";"45""";"";"'apto 2401 edf david becker'";"'Rosarinho'";"";"2610,0";"207,27";"207,27";"2013""";"''";"''";"'CONCLUIDO'"
"'2020-08-05'";"2020-08-05 00:00:00";"880981.39";"100.00";"'Apartamento > 4 Pavimentos'";"'rua andre reboucas'";"45""";"";"'apto 3101 edf david becker'";"'Rosarinho'";"";"2610,0";"207,27";"207,27";"2013""";"''";"''";"'CONCLUIDO'"
"'2020-10-22'";"2020-10-22 00:00:00";"776436.78";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"59""";"";"'apto 201 edf gran parc premium-bloco a'";"'Rosarinho'";"";"2961,24";"184,61";"184,61";"2015""";"''";"''";"'CONCLUIDO'"
"'2020-10-24'";"2020-10-24 00:00:00";"791826.68";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"59""";"";"'apto 602 edf gran parc premium-bloco a'";"'Rosarinho'";"";"2961,24";"184,61";"184,61";"2015""";"''";"''";"'CONCLUIDO'"
"'2020-10-14'";"2020-10-14 00:00:00";"803568.98";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"59""";"";"'apto 902 edf gran parc premium-bloco a'";"'Rosarinho'";"";"2961,24";"184,61";"184,61";"2015""";"''";"''";"'CONCLUIDO'"
"'2020-08-20'";"2020-08-20 00:00:00";"835740.09";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"59""";"";"'apto 1701 edf gran parc premium-bloco a'";"'Rosarinho'";"";"2961,24";"184,61";"184,61";"2015""";"''";"''";"'CONCLUIDO'"
"'2020-11-09'";"2020-11-09 00:00:00";"870000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"59""";"";"'apto 1702 edf gran parc premium-bloco a'";"'Rosarinho'";"";"2961,24";"184,61";"184,61";"2015""";"''";"''";"'CONCLUIDO'"
"'2020-01-21'";"2020-01-21 00:00:00";"843982.14";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"59""";"";"'apto 1902 edf gran parc premium-bloco a'";"'Rosarinho'";"";"2961,24";"184,61";"184,61";"2015""";"''";"''";"'CONCLUIDO'"
"'2020-11-18'";"2020-11-18 00:00:00";"865000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"59""";"";"'apto 2001 edf gran parc premium-bloco a'";"'Rosarinho'";"";"2961,24";"184,61";"184,61";"2015""";"''";"''";"'CONCLUIDO'"
"'2020-11-19'";"2020-11-19 00:00:00";"819496.68";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"59""";"";"'apto 1301 edf gran parc premium-bloco a'";"'Rosarinho'";"";"2961,24";"184,61";"184,61";"2015""";"''";"''";"'CONCLUIDO'"
"'2020-09-23'";"2020-09-23 00:00:00";"890000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"59""";"";"'apto 1402 edf gran parc premium-bloco a'";"'Rosarinho'";"";"2961,24";"184,61";"184,61";"2015""";"''";"''";"'CONCLUIDO'"
"'2020-01-21'";"2020-01-21 00:00:00";"864944.62";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"59""";"";"'apto 2401 edf gran parc premium-bloco a'";"'Rosarinho'";"";"2961,24";"184,61";"184,61";"2015""";"''";"''";"'CONCLUIDO'"
"'2020-01-21'";"2020-01-21 00:00:00";"210000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'av santos dumont'";"815""";"";"'apto 101 edf pedra do sitio das roseiras'";"'Rosarinho'";"";"1020,0";"148,26";"148,26";"2008""";"''";"''";"'CONCLUIDO'"
"'2020-09-04'";"2020-09-04 00:00:00";"523000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'av santos dumont'";"815""";"";"'apto 702 edf pedra do sitio das roseiras'";"'Rosarinho'";"";"1020,0";"148,26";"148,26";"2008""";"''";"''";"'CONCLUIDO'"
"'2020-09-10'";"2020-09-10 00:00:00";"490000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'av santos dumont'";"815""";"";"'apto 2002 edf pedra do sitio das roseiras'";"'Rosarinho'";"";"1020,0";"148,26";"148,26";"2008""";"''";"''";"'CONCLUIDO'"
"'2020-11-20'";"2020-11-20 00:00:00";"500000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"275""";"";"'apto 0102 edf artemis'";"'Rosarinho'";"";"1075,2";"162,45";"162,45";"1999""";"''";"''";"'CONCLUIDO'"
"'2020-06-08'";"2020-06-08 00:00:00";"560000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"275""";"";"'apto 2101 edf artemis'";"'Rosarinho'";"";"1075,2";"162,45";"162,45";"1999""";"''";"''";"'CONCLUIDO'"
"'2020-09-03'";"2020-09-03 00:00:00";"715000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"225""";"";"'apto 1302 edf maria luiza'";"'Rosarinho'";"";"2179,25";"165,37";"165,37";"2012""";"''";"''";"'CONCLUIDO'"
"'2020-12-04'";"2020-12-04 00:00:00";"670000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"225""";"";"'apto 1503 edf maria luiza'";"'Rosarinho'";"";"2179,25";"171,43";"171,43";"2012""";"''";"''";"'CONCLUIDO'"
"'2020-11-24'";"2020-11-24 00:00:00";"730000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"225""";"";"'apto 2001 edf maria luiza'";"'Rosarinho'";"";"2179,25";"172,78";"172,78";"2012""";"''";"''";"'CONCLUIDO'"
"'2020-01-24'";"2020-01-24 00:00:00";"630000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"175""";"";"'apto 302 edf maria esther'";"'Rosarinho'";"";"1050,63";"189,82";"189,82";"2009""";"''";"''";"'CONCLUIDO'"
"'2020-05-26'";"2020-05-26 00:00:00";"892146.92";"100.00";"'Apartamento > 4 Pavimentos'";"'av santos dumont'";"725""";"";"'apto 2501 edf desb dirceu borges'";"'Rosarinho'";"";"1918,49";"200,45";"200,45";"2008""";"''";"''";"'CONCLUIDO'"
"'2020-01-15'";"2020-01-15 00:00:00";"266398.40";"100.00";"'Apartamento > 4 Pavimentos'";"'rua doutor jose maria'";"792""";"";"'apto 306 edf parque da jaqueira home service'";"'Rosarinho'";"";"1129,36";"74,33";"74,33";"2011""";"''";"''";"'CONCLUIDO'"
"'2020-11-03'";"2020-11-03 00:00:00";"277448.29";"100.00";"'Apartamento > 4 Pavimentos'";"'rua doutor jose maria'";"792""";"";"'apto 1005 edf parque da jaqueira home service'";"'Rosarinho'";"";"1129,36";"74,84";"74,84";"2011""";"''";"''";"'CONCLUIDO'"
"'2020-09-02'";"2020-09-02 00:00:00";"312976.10";"100.00";"'Apartamento > 4 Pavimentos'";"'rua engenheiro sampaio'";"255""";"";"'apto 1302 edf débora'";"'Rosarinho'";"";"1022,4";"101,43";"101,43";"2003""";"''";"''";"'CONCLUIDO'"
"'2020-07-29'";"2020-07-29 00:00:00";"751000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua caio pereira'";"75""";"";"'apto 1402 edf abelardo carneiro leão'";"'Rosarinho'";"";"1030,98";"196,94";"196,94";"2017""";"''";"''";"'CONCLUIDO'"
"'2020-04-01'";"2020-04-01 00:00:00";"902398.20";"100.00";"'Apartamento > 4 Pavimentos'";"'rua general abreu e lima'";"144""";"";"'apto 1202 edf mirante'";"'Rosarinho'";"";"2210,0";"237,22";"237,22";"2012""";"''";"''";"'CONCLUIDO'"
"'2020-07-24'";"2020-07-24 00:00:00";"1000000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua general abreu e lima'";"144""";"";"'apto 2602 edf mirante'";"'Rosarinho'";"";"2210,0";"237,22";"237,22";"2012""";"''";"''";"'CONCLUIDO'"
"'2020-11-12'";"2020-11-12 00:00:00";"990575.07";"100.00";"'Apartamento > 4 Pavimentos'";"'rua general abreu e lima'";"144""";"";"'apto 3101 edf mirante'";"'Rosarinho'";"";"2210,0";"237,22";"237,22";"2012""";"''";"''";"'CONCLUIDO'"
"'2020-08-05'";"2020-08-05 00:00:00";"220000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'av norte miguel arraes de alencar'";"3533""";"";"'apto 0302 bloco p2'";"'Tamarineira'";"";"16216,63";"83,71";"83,71";"1984""";"''";"''";"'CONCLUIDO'"
"'2020-11-16'";"2020-11-16 00:00:00";"340000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'av norte miguel arraes de alencar'";"3533""";"";"'apto 0405 bloco p1'";"'Tamarineira'";"";"16216,63";"106,13";"106,13";"1984""";"''";"''";"'CONCLUIDO'"
"'2020-11-30'";"2020-11-30 00:00:00";"1000000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua general abreu e lima'";"155""";"";"'apto 1301 edf cel. antonio lucena'";"'Tamarineira'";"";"1296,0";"249,1";"249,1";"1999""";"''";"''";"'CONCLUIDO'"
"'2020-09-29'";"2020-09-29 00:00:00";"529312.02";"100.00";"'Apartamento > 4 Pavimentos'";"'rua general abreu e lima'";"65""";"";"'apto 602 edf quinta das oliveiras'";"'Tamarineira'";"";"1068,0";"188,97";"188,97";"2004""";"''";"''";"'CONCLUIDO'"
"'2020-12-02'";"2020-12-02 00:00:00";"569243.51";"100.00";"'Apartamento > 4 Pavimentos'";"'rua general abreu e lima'";"65""";"";"'apto 1701 edf quinta das oliveiras'";"'Tamarineira'";"";"1068,0";"192,86";"192,86";"2004""";"''";"''";"'CONCLUIDO'"
"'2020-05-26'";"2020-05-26 00:00:00";"550000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua neto de mendonca'";"165""";"";"'apto 0203 edf west side park'";"'Tamarineira'";"";"2073,04";"164,66";"164,66";"2004""";"''";"''";"'CONCLUIDO'"
"'2020-06-16'";"2020-06-16 00:00:00";"651503.03";"100.00";"'Apartamento > 4 Pavimentos'";"'rua neto de mendonca'";"165""";"";"'apto 1702 edf west side park'";"'Tamarineira'";"";"2073,04";"177,87";"177,87";"2004""";"''";"''";"'CONCLUIDO'"
"'2020-12-16'";"2020-12-16 00:00:00";"1065000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua neto de mendonca'";"121""";"";"'apto 1801 edf amareto'";"'Tamarineira'";"";"1196,22";"270,19";"270,19";"1994""";"''";"''";"'CONCLUIDO'"
"'2020-07-30'";"2020-07-30 00:00:00";"1300000.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua neto de mendonca'";"67""";"";"'apto 0901 edf mário sette - itatiaia village'";"'Tamarineira'";"";"1270,15";"384,95";"384,95";"1988""";"''";"''";"'CONCLUIDO'"
"'2020-09-23'";"2020-09-23 00:00:00";"700000.00";"100.00";"'Apartamento <= 4 Pavimentos'";"'rua neto de mendonca'";"25""";"";"'apto 1 edf maia'";"'Tamarineira'";"";"817,0";"179,3";"179,3";"1948""";"''";"''";"'CONCLUIDO'"
"'2020-09-25'";"2020-09-25 00:00:00";"271138.35";"100.00";"'Apartamento > 4 Pavimentos'";"'av conselheiro rosa e silva'";"1930""";"";"'apto 603 edf golden jaqueira home service'";"'Tamarineira'";"";"1644,09";"66,87";"66,87";"2024""";"''";"''";"'CONCLUIDO'"
"'2020-10-26'";"2020-10-26 00:00:00";"208066.02";"100.00";"'Apartamento > 4 Pavimentos'";"'av conselheiro rosa e silva'";"1952""";"";"'apto 0203 bloco a'";"'Tamarineira'";"";"2107,87";"88,0";"88,0";"1970""";"''";"''";"'CONCLUIDO'"
"'2020-12-10'";"2020-12-10 00:00:00";"1197950.00";"100.00";"'Apartamento > 4 Pavimentos'";"'rua ricardo hardman'";"157""";"";"'apto 202 edf parklane jaqueira marcos suassuna'";"'Tamarineira'";"";"1159,42";"155,27";"155,27";"2021""";"''";"''";"'CONCLUIDO'"
